original_index,ocsvm_score,ocsvm_prediction,severity_unified_original,severity_unified_binary
0,0.0001746787825815943,normal,Error,1
1,0.5116827931014214,normal,info,0
2,0.93511354074605,normal,info,0
3,0.42774926048626405,normal,information,0
4,0.7017041623012386,normal,info,0
5,0.31138541329651304,normal,info,0
6,-0.013176692079300167,abnormal,info,0
7,1.1288826383817394,normal,information,0
8,0.7434436111340457,normal,info,0
9,0.16900866161730832,normal,information,0
10,-1.233131163580481e-05,abnormal,information,0
11,0.16900866161730832,normal,information,0
12,0.00019455233506882053,normal,information,0
13,0.03531144100793426,normal,information,0
14,0.20073758444639367,normal,information,0
15,1.1288826383817394,normal,information,0
16,1.5077427255802789,normal,info,0
17,1.1997428093903206,normal,info,0
18,0.3395979804501774,normal,information,0
19,0.00020679674123336156,normal,info,0
20,0.3197785057601781,normal,info,0
21,0.25634505680736197,normal,info,0
22,1.1288826383817394,normal,information,0
23,-0.6705750629111424,abnormal,information,0
24,-7.996358023993005,abnormal,information,0
25,-0.8125906325153576,abnormal,information,0
26,-0.00028057467743280995,abnormal,info,0
27,0.04656619190794409,normal,info,0
28,-5.101730443777312,abnormal,notification,0
29,0.24666044974907386,normal,info,0
30,0.2383127229903792,normal,info,0
31,1.1288826383817394,normal,information,0
32,0.7472891080209401,normal,info,0
33,0.8473237682493195,normal,info,0
34,0.5002150582925378,normal,info,0
35,0.4083655996212876,normal,information,0
36,0.7890602934804019,normal,-,0
37,1.0787850268596841,normal,-,0
38,0.60114945019739,normal,-,0
39,0.15310707785007516,normal,-,0
40,0.11108352926867582,normal,-,0
41,0.154403285606465,normal,-,0
42,0.3419830475395109,normal,-,0
43,0.508984829655736,normal,-,0
44,0.23314153804787452,normal,-,0
45,0.29760353069971757,normal,-,0
46,0.3419830475395109,normal,-,0
47,0.1887086970716716,normal,-,0
48,0.154403285606465,normal,-,0
49,0.154403285606465,normal,-,0
50,0.3419830475395109,normal,-,0
51,0.18319705077380632,normal,-,0
52,0.028753232515954963,normal,-,0
53,0.3592670905025859,normal,-,0
54,0.29760353069971757,normal,-,0
55,0.29760353069971757,normal,-,0
56,0.44310077404139925,normal,-,0
57,0.3419830475395109,normal,-,0
58,0.1478160634979382,normal,-,0
59,0.17317505464072624,normal,-,0
60,0.28313362960397725,normal,-,0
61,0.44310077404139925,normal,-,0
62,0.29760353069971757,normal,-,0
63,0.3419830475395109,normal,-,0
64,0.1784231308617752,normal,-,0
65,0.14421193444150937,normal,-,0
66,0.16316608069524996,normal,-,0
67,0.5044103086499216,normal,-,0
68,0.14421193444150937,normal,-,0
69,0.45827648808949917,normal,-,0
70,0.3168142145461399,normal,-,0
71,0.6406690835174338,normal,-,0
72,0.28196030967497165,normal,-,0
73,0.33772004516857734,normal,-,0
74,0.31562757102403083,normal,-,0
75,0.183169438375689,normal,-,0
76,0.42958210345776315,normal,-,0
77,0.2336845197698576,normal,-,0
78,0.20731544774682398,normal,-,0
79,0.20731544774682398,normal,-,0
80,-0.0003387983067355549,abnormal,-,0
81,0.0654571103999988,normal,-,0
82,0.3481217132449004,normal,-,0
